method,prompt_type,prompt_id,reuse_interval,tokens_generated,rounds,draft_length,accepted_draft_tokens,acceptance_length,acceptance_ratio,total_time_ms,tokens_per_second,latency_per_accepted_token_ms,simulated_network_ms,retrieval_updates,network_ms_per_update,mean_oracle_overlap
reuse_R1_k8,pg19,1,1,514,113,12,401,3.5486725663716814,0.29572271386430676,43645.2386819999,11.776771430785715,108.84099421945112,2114.08,0,,
reuse_R1_k16,pg19,1,1,514,113,12,401,3.5486725663716814,0.29572271386430676,43876.98666200004,11.714569278868758,109.41891935660858,2114.23,0,,
reuse_R2_k8,pg19,1,2,514,112,12,402,3.5892857142857144,0.29910714285714285,40336.974018000095,12.742651438618847,100.34073138805994,2095.39,0,,
reuse_R2_k16,pg19,1,2,514,113,12,401,3.5486725663716814,0.29572271386430676,41600.03258200004,12.355759553476963,103.7407296309228,2114.1,0,,
reuse_R4_k8,pg19,1,4,514,113,12,401,3.5486725663716814,0.29572271386430676,39144.034724,13.13099182606376,97.61604669326682,2114.0,0,,
reuse_R4_k16,pg19,1,4,514,112,12,402,3.5892857142857144,0.29910714285714285,39019.44280299995,13.172920038737251,97.06329055472624,2095.36,0,,
reuse_R8_k8,pg19,1,8,514,113,12,401,3.5486725663716814,0.29572271386430676,37519.78473200006,13.699438940586917,93.56554796009989,2114.04,0,,
reuse_R8_k16,pg19,1,8,514,112,12,402,3.5892857142857144,0.29910714285714285,37343.33503400012,13.764169684684472,92.8938682437814,2095.38,0,,
reuse_R16_k8,pg19,1,16,514,113,12,401,3.5486725663716814,0.29572271386430676,37248.446091000005,13.799233362494363,92.88889299501248,2113.98,0,,
reuse_R16_k16,pg19,1,16,514,112,12,402,3.5892857142857144,0.29910714285714285,36728.88821200013,13.994433946194565,91.36539356218938,2095.31,0,,
reuse_R32_k8,pg19,1,32,514,116,12,398,3.4310344827586206,0.2859195402298851,37824.26833699992,13.5891590927934,95.03585009296462,2170.09,0,,
reuse_R32_k16,pg19,1,32,514,112,12,402,3.5892857142857144,0.29910714285714285,36464.98000400016,14.095715942902338,90.70890548258745,2095.3,0,,
no_update_k8,pg19,1,0,515,125,12,390,3.12,0.26,40390.31330299986,12.750581956039198,103.56490590512784,2337.83,0,,
no_update_k16,pg19,1,0,515,124,12,391,3.153225806451613,0.26276881720430106,41199.298252000066,12.500212912607042,105.36904923785183,2319.18,0,,
reuse_R1_k8,pg19,2,1,514,139,12,375,2.697841726618705,0.22482014388489208,57068.840832000205,9.006666203596426,152.18357555200055,2709.54,0,,
