network_regime,method,avg_tps,std_tps,min_tps,max_tps,avg_acceptance_pct,count
good,direct,11.0841,0.0055,11.0790,11.1048,0.00,20
good,spec_k2,8.6643,1.9762,5.6775,11.3744,47.66,20
good,spec_k4,12.9399,5.3227,5.4042,21.5684,46.27,20
good,spec_k6,16.7618,6.9546,5.0393,26.9202,45.01,20
good,spec_k8,20.0070,6.0695,5.4322,32.9841,41.79,20
medium,direct,11.0858,0.0039,11.0808,11.0943,0.00,20
medium,spec_k2,6.4023,1.4735,4.2419,8.4132,47.66,20
medium,spec_k4,9.7291,4.0468,4.0709,16.2398,46.27,20
medium,spec_k6,12.8141,5.4038,3.8914,22.3604,45.01,20
medium,spec_k8,15.4123,4.6799,4.1782,26.1236,41.79,20
bad,direct,11.0990,0.0032,11.0914,11.1049,0.00,20
bad,spec_k2,4.1765,0.9546,2.7879,5.4559,47.66,20
bad,spec_k4,6.4324,2.6473,2.7434,10.6512,46.27,20
bad,spec_k6,8.6158,3.6232,2.6518,14.9529,45.01,20
bad,spec_k8,10.5529,3.2249,2.8197,17.9184,41.79,20
bursty,direct,11.0888,0.0056,11.0824,11.1035,0.00,20
bursty,spec_k2,5.7310,1.8707,3.6253,10.1274,47.66,20
bursty,spec_k4,9.9386,5.4725,3.5114,19.7903,46.27,20
bursty,spec_k6,11.9183,5.5967,3.3981,21.0673,45.01,20
bursty,spec_k8,15.3656,6.0914,4.0193,30.8801,41.79,20
