method,prompt_type,prompt_id,reuse_interval,tokens_generated,rounds,draft_length,accepted_draft_tokens,acceptance_length,acceptance_ratio,total_time_ms,tokens_per_second,latency_per_accepted_token_ms,simulated_network_ms,retrieval_updates,network_ms_per_update,mean_oracle_overlap
reuse_R1,pg19,1,1,258,93,12,165,1.7741935483870968,0.1478494623655914,47414.11008685827,5.441418167025972,287.3582429506562,1574.23,0,,1.0
reuse_R2,pg19,1,2,256,91,12,165,1.8131868131868132,0.1510989010989011,41972.153045237064,6.099282057894109,254.37668512264887,1540.43,0,,0.7699566736276157
reuse_R4,pg19,1,4,258,89,12,169,1.898876404494382,0.15823970037453183,32436.506386846304,7.954000869360718,191.93199045471187,1506.37,0,,0.8105713722508519
reuse_R8,pg19,1,8,258,86,12,172,2.0,0.16666666666666666,31734.18127372861,8.130034859717252,184.5010539170268,1455.5,0,,0.8024764061627766
reuse_R16,pg19,1,16,257,82,12,175,2.1341463414634148,0.17784552845528456,31457.490503787994,8.169755307374345,179.75708859307426,1387.87,0,,0.7857601919672447
reuse_R32,pg19,1,32,258,76,12,182,2.3947368421052633,0.19956140350877194,27597.007151693106,9.348839842735318,151.6319074268852,1286.25,0,,0.7093511862681051
no_update,pg19,1,0,257,107,12,150,1.4018691588785046,0.11682242990654206,37921.76166549325,6.777111313208217,252.81174443662167,1809.24,0,,0.0
reuse_R1,pg19,2,1,260,87,12,173,1.9885057471264367,0.1657088122605364,37467.84406900406,6.939283710083806,216.57713334684428,1466.85,0,,1.0
reuse_R2,pg19,2,2,258,82,12,176,2.1463414634146343,0.17886178861788618,34008.67586955428,7.586299478097891,193.23111289519477,1382.7,0,,0.6761214588142022
reuse_R4,pg19,2,4,260,86,12,174,2.0232558139534884,0.1686046511627907,35293.33087801933,7.366830886509719,202.83523493114558,1449.78,0,,0.7382233513560463
reuse_R8,pg19,2,8,259,81,12,178,2.197530864197531,0.1831275720164609,30817.387104034424,8.404346517946465,173.13138822491248,1365.81,0,,0.6673844775667961
reuse_R16,pg19,2,16,259,78,12,181,2.3205128205128207,0.19337606837606838,27746.345587074757,9.334562607071812,153.29472700041302,1315.3,0,,0.6816775473122222
reuse_R32,pg19,2,32,259,80,12,179,2.2375,0.18645833333333334,28748.391538858414,9.009199685134272,160.60553932323137,1348.54,0,,0.6504653344591425
no_update,pg19,2,0,259,126,12,133,1.0555555555555556,0.08796296296296297,46960.317861288786,5.515294865870228,353.08509670141945,2122.49,0,,0.0
reuse_R1,pg19,3,1,257,81,12,176,2.1728395061728394,0.18106995884773663,35155.96807748079,7.310280844310521,199.74981862204996,1370.39,0,,1.0
reuse_R2,pg19,3,2,258,80,12,178,2.225,0.18541666666666667,30749.936152249575,8.39026132355483,172.75245029353692,1353.43,0,,0.8419986240110079
reuse_R4,pg19,3,4,258,76,12,182,2.3947368421052633,0.19956140350877194,29607.693810015917,8.713951233605428,162.6796363187688,1285.63,0,,0.7761167624944715
reuse_R8,pg19,3,8,258,77,12,181,2.3506493506493507,0.1958874458874459,29533.76293927431,8.73576457326096,163.1699609904658,1302.68,0,,0.7492886787888999
reuse_R16,pg19,3,16,258,78,12,180,2.3076923076923075,0.19230769230769232,28170.51452025771,9.15851216755269,156.50285844587617,1319.48,0,,0.7084650700749773
reuse_R32,pg19,3,32,258,71,12,187,2.6338028169014085,0.21948356807511737,24883.310846984386,10.368395170020836,133.0658334063336,1200.72,0,,0.6376759226277388
no_update,pg19,3,0,259,103,12,156,1.5145631067961165,0.1262135922330097,35803.824584931135,7.2338640634779034,229.51169605725087,1740.82,0,,0.0
