feature,label,pearson,samples,window
staleness_rounds,next_accept_len_drop,0.004166,5799,4
staleness_rounds,oracle_overlap,,5799,4
staleness_rounds,stale_oracle_label,,5799,4
recent_acceptance_len,next_accept_len_drop,0.214421,5799,4
recent_acceptance_len,oracle_overlap,,5799,4
recent_acceptance_len,stale_oracle_label,,5799,4
accepted_len_drop,next_accept_len_drop,-0.207295,5799,4
accepted_len_drop,oracle_overlap,,5799,4
accepted_len_drop,stale_oracle_label,,5799,4
pipeline_wait_ms,next_accept_len_drop,,5799,4
pipeline_wait_ms,oracle_overlap,,5799,4
pipeline_wait_ms,stale_oracle_label,,5799,4
pipeline_hit,next_accept_len_drop,,5799,4
pipeline_hit,oracle_overlap,,5799,4
pipeline_hit,stale_oracle_label,,5799,4
pipeline_reuse,next_accept_len_drop,,5799,4
pipeline_reuse,oracle_overlap,,5799,4
pipeline_reuse,stale_oracle_label,,5799,4
