accept_ratio,acceptance_trend_slope,accepted_len,attention_mass_covered,cloud_guidance_generation_time_ms,cloud_selected_count,cloud_selected_token_count,cloud_target_verify_time_ms,cuda_memory_allocated_mb,draft_entropy,draft_tokens,draft_top1_confidence,draft_top1_top2_margin,draft_tree_actual_depth,draft_tree_max_depth,draft_tree_nodes,full_kv_tokens,generated_token_offset,generation_phase,guidance_jaccard,kv_append_ms,kv_select_ms,method,network,network_time_ms,prompt_id,prompt_type,rejected_position,request_payload_bytes,response_payload_bytes,retrieval,retrieve_every_n_steps,retrieve_top_k,round,selected_full_ratio,tokens_since_guidance_update,top_attention_token_indices,tree_construct_ms,verify_elapsed_ms,working_kv_tokens
0.0,0.0,0,0.8904796242713928,143.97154899961606,16,1014,260.6863119999616,12826.38916015625,1.2670491933822632,32,0.7654011845588684,0.7081956826150417,6,6,32,4085,0,early,0.5238095238095238,323.33433799976774,3.8490269998874282,observability_fixed_R16_k16,good,24.864795999747002,1,pg19,0,21248,965,True,16,16,0,0.12533659730722155,1,"[0, 4085, 4082, 4083, 4081, 4080, 4079, 4073, 4084, 4076, 2750, 4074, 4077, 4075, 2960, 3676]",202.23026600069716,285.5511079997086,512
0.0,0.0,0,,0.0,0,0,109.04785999991873,10458.96875,1.0915663242340088,32,0.539905309677124,0.16299068927764893,6,6,32,4086,1,early,1.0,50.76439399999799,3.759730001547723,observability_fixed_R16_k16,good,23.512334000770352,1,pg19,0,21226,764,False,16,16,1,0.13069016152716592,1,[],207.35286399940378,132.56019400068908,534
0.15625,5.0,5,,0.0,0,0,185.63192799956596,10458.96875,0.7149040699005127,32,0.752292811870575,0.5333631336688995,6,6,32,4087,2,early,1.0,30.702076999659766,0.05974499981675763,observability_fixed_R16_k16,good,24.221920999480062,1,pg19,5,21239,785,False,16,16,2,0.1309028627355028,7,[],209.98721000069054,209.85384899904602,535
0.0625,0.33333333333333326,2,,0.0,0,0,179.5593339993502,10461.86669921875,1.7430510520935059,32,0.5897127985954285,0.483983114361763,6,6,32,4093,8,early,1.0,34.7139640016394,0.058163999710814096,observability_fixed_R16_k16,good,23.160271999586257,1,pg19,2,21276,769,False,16,16,3,0.13217688736867822,10,[],207.31428100043559,202.71960599893646,541
0.125,2.25,4,,0.0,0,0,172.0305439994263,10460.1279296875,0.005035439506173134,32,0.9994021654129028,0.9988044961355627,6,6,32,4096,11,early,1.0,32.49912600040261,0.06614199992327485,observability_fixed_R16_k16,good,22.763962000681204,1,pg19,4,21283,776,False,16,16,4,0.1328125,15,[],203.61977399988973,194.7945060001075,544
0.0,-2.75,0,,0.0,0,0,177.58103500091238,10461.287109375,1.8594261407852173,32,0.3626479506492615,0.03757241368293762,5,6,32,4101,16,early,0.9411764705882353,32.759257999714464,4.252996001014253,observability_fixed_R16_k16,good,22.493454998766538,1,pg19,0,21303,761,False,16,16,5,0.14167276274079493,16,[],207.11362499969255,200.07448999967892,581
0.0,-2.75,0,,0.0,0,0,173.65711800084682,10458.96875,5.814512252807617,32,0.14915965497493744,0.09997201710939407,6,6,32,4102,17,early,0.9411764705882353,31.14401099992392,0.06329999996523838,observability_fixed_R16_k16,good,22.86352799819724,1,pg19,0,21308,766,False,16,16,6,0.14188200877620674,17,[],207.4842029996944,196.52064599904406,582
0.03125,-0.5,1,,0.0,0,0,173.8532719991781,10458.96875,2.4201786518096924,32,0.4573204517364502,0.37272467464208603,3,6,32,4103,18,early,0.9411764705882353,30.806470998868463,0.06660599865426775,observability_fixed_R16_k16,good,22.623033999479958,1,pg19,1,21289,757,False,16,16,7,0.14209115281501342,19,[],207.33242599999357,196.47630599865806,583
0.09375,1.75,3,,0.0,0,0,175.65449899848318,10459.54833984375,0.9655462503433228,32,0.5947943925857544,0.2611449658870697,5,6,32,4105,20,early,0.9411764705882353,32.97869699963485,0.06760199903510511,observability_fixed_R16_k16,good,22.797958999944967,1,pg19,3,21309,778,False,16,16,8,0.1425091352009744,23,[],209.5345339985215,198.45245799842814,585
0.09375,2.0,3,,0.0,0,0,175.68044099971303,10460.70751953125,1.6700937747955322,32,0.4645823836326599,0.25188106298446655,6,6,32,4109,24,early,0.9411764705882353,32.890593000047375,0.06350800140353385,observability_fixed_R16_k16,good,23.028440000416595,1,pg19,3,21336,776,False,16,16,9,0.14334387928936482,27,[],212.18464499906986,198.70888100012962,589
0.03125,-0.75,1,,0.0,0,0,176.4740039998287,10460.70751953125,1.5378202199935913,32,0.48845669627189636,0.21870529651641846,6,6,32,4113,28,early,0.9411764705882353,33.0460259992833,0.06911899981787428,observability_fixed_R16_k16,good,22.46248600022227,1,pg19,1,21357,763,False,16,16,10,0.14417699975686846,29,[],207.7533850006148,198.93649000005098,593
0.09375,1.0,3,,0.0,0,0,174.91654999867023,10459.54833984375,1.6836097240447998,32,0.6612594127655029,0.5882183909416199,5,6,32,4115,30,early,0.9411764705882353,32.65793300124642,0.06384900007105898,observability_fixed_R16_k16,good,22.853381002278184,1,pg19,3,21371,774,False,16,16,11,0.1445929526123937,33,[],206.86069300063537,197.76993100094842,595
0.09375,0.5,3,,0.0,0,0,174.900935999176,10460.70751953125,0.021215230226516724,32,0.9972570538520813,0.9950412095058709,6,6,32,4119,34,early,0.9411764705882353,33.24882599918055,0.06997799937380478,observability_fixed_R16_k16,good,22.831639002106385,1,pg19,3,21381,769,False,16,16,12,0.1454236465161447,37,[],207.58516100067936,197.73257500128238,599
0.1875,3.5,6,,0.0,0,0,173.03371600064565,10460.70751953125,0.002000141190364957,32,0.9998114705085754,0.9996672170382226,6,6,32,4123,38,early,0.9411764705882353,33.169999998790445,0.06702999962726608,observability_fixed_R16_k16,good,23.111087999495794,1,pg19,6,21390,790,False,16,16,13,0.14625272859568275,44,[],213.9495330011414,196.14480400014145,603
0.0,-3.25,0,,0.0,0,0,142.5557819984533,10462.4462890625,1.599381685256958,32,0.7059839963912964,0.6423376053571701,6,6,32,4130,45,early,0.9411764705882353,37.18578599909961,4.222965999360895,observability_fixed_R16_k16,good,24.037413000769448,1,pg19,0,21442,760,False,16,16,14,0.14769975786924938,45,[],209.02785199905338,166.59319499922276,610
0.0,-3.0,0,,0.0,0,0,140.97810599923832,10458.96875,2.705157995223999,32,0.3003064692020416,0.14450952410697937,6,6,32,4131,46,early,0.9411764705882353,30.891760001395596,0.06571100129804108,observability_fixed_R16_k16,good,22.351540001182002,1,pg19,0,21445,760,False,16,16,15,0.14790607601065117,46,[],212.3540110005706,163.32964600042033,611
0.15625,2.75,5,0.8322705030441284,130.9207760004938,16,1002,271.32906899896625,10458.96875,9.734996638144366e-06,32,0.9999994039535522,0.9999991937102948,6,6,32,4132,47,early,0.5714285714285714,30.93841599911684,0.06721200043102726,observability_fixed_R16_k16,good,22.610331001487793,1,pg19,5,21421,984,True,16,16,16,0.14811229428848016,52,"[0, 4137, 4135, 4136, 4130, 4123, 4124, 4125, 4128, 4126, 4108, 2750, 4119, 4118, 4127, 4109]",206.87602300131402,293.93940000045404,612
0.09375,0.25,3,,0.0,0,0,76.72383000135596,10461.86669921875,2.242312431335449,32,0.3267551362514496,0.16997630894184113,5,6,32,4138,53,early,1.0,33.418645998608554,4.183484999884968,observability_fixed_R16_k16,good,22.978803999649244,1,pg19,3,21464,772,False,16,16,17,0.12614789753504108,4,[],208.81217399983143,99.70263400100521,522
0.09375,1.0,3,,0.0,0,0,148.8218220001727,10461.1728515625,2.2195959091186523,32,0.37841853499412537,0.2516642063856125,5,6,32,4142,57,early,1.0,32.08389899918984,0.06572699930984527,observability_fixed_R16_k16,good,22.634001999904285,1,pg19,3,21497,771,False,16,16,18,0.1269917914051183,8,[],208.73475799999142,171.45582400007697,526
0.03125,-1.75,1,,0.0,0,0,141.3996360006422,10460.70751953125,1.969718098640442,32,0.45189169049263,0.19035685062408447,5,6,32,4146,61,early,1.0,33.17571300067357,0.06214200038812123,observability_fixed_R16_k16,good,22.969818999627023,1,pg19,1,21499,757,False,16,16,19,0.1278340569223348,10,[],209.12234699972032,164.36945500026923,530
0.125,1.0,4,,0.0,0,0,145.59058800114144,10459.54833984375,2.5389716625213623,32,0.4682563841342926,0.3587600588798523,6,6,32,4148,63,early,1.0,33.02578699913283,0.0633529998594895,observability_fixed_R16_k16,good,22.657175997665036,1,pg19,4,21512,782,False,16,16,20,0.12825458052073288,15,[],209.6627909995732,168.24776399880648,532
0.0625,-0.75,2,,0.0,0,0,142.15268699990702,10461.287109375,0.8749961256980896,32,0.844954788684845,0.801551591604948,6,6,32,4153,68,early,1.0,33.14735300045868,0.061610000557266176,observability_fixed_R16_k16,good,22.86011100113683,1,pg19,2,21525,767,False,16,16,21,0.12930411750541776,18,[],211.24025700009952,165.01279800104385,537
0.15625,2.5,5,,0.0,0,0,141.93198599969037,10460.8828125,0.5394322276115417,32,0.9219663739204407,0.9050799701362848,6,6,32,4156,71,early,1.0,32.28684500027157,0.059841000620508566,observability_fixed_R16_k16,good,22.864772001412348,1,pg19,5,21540,782,False,16,16,22,0.12993262752646775,24,[],207.45500999873911,164.79675800110272,540
0.0625,-1.0,2,,0.0,0,0,142.5642930007598,10462.15673828125,1.8441938161849976,32,0.6432886123657227,0.594452578574419,6,6,32,4162,77,early,0.9411764705882353,36.443085000428255,4.186202999335364,observability_fixed_R16_k16,good,23.102793000362,1,pg19,2,21574,766,False,16,16,23,0.13887554060547813,27,[],208.03430300111359,165.6670860011218,578
0.0625,-1.25,2,,0.0,0,0,144.9531210000714,10460.1279296875,2.9001615047454834,32,0.38758665323257446,0.28958939760923386,6,6,32,4165,80,early,0.9411764705882353,34.599623999383766,0.06991299960645847,observability_fixed_R16_k16,good,23.07975800067652,1,pg19,2,21595,769,False,16,16,24,0.13949579831932774,30,[],211.49801799947454,168.03287900074793,581
0.09375,0.25,3,,0.0,0,0,141.84370700058935,10460.1279296875,0.008846839889883995,32,0.999058187007904,0.9983811721322127,6,6,32,4168,83,early,0.9411764705882353,31.89381899937871,0.06686599954264238,observability_fixed_R16_k16,good,24.17065200097568,1,pg19,3,21592,770,False,16,16,25,0.1401151631477927,34,[],210.7456989997445,166.01435900156503,584
0.03125,-2.0,1,,0.0,0,0,143.65076900139684,10460.70751953125,1.4954200983047485,32,0.6747159957885742,0.5144568830728531,6,6,32,4172,87,early,0.9411764705882353,33.00893300001917,0.07715600077062845,observability_fixed_R16_k16,good,22.74102499904984,1,pg19,1,21621,764,False,16,16,26,0.14093959731543623,36,[],210.78241600116598,166.39179400044668,588
0.0,-2.0,0,,0.0,0,0,141.9753199988918,10459.54833984375,2.8229706287384033,32,0.4097214639186859,0.3077337220311165,6,6,32,4174,89,early,0.9411764705882353,32.08095000081812,0.0698630010447232,observability_fixed_R16_k16,good,22.482534001028398,1,pg19,0,21634,761,False,16,16,27,0.1413512218495448,37,[],208.34059800108662,164.4578539999202,590
0.125,2.5,4,,0.0,0,0,140.90183100051945,10458.96875,1.2247956991195679,32,0.4472399055957794,0.05255207419395447,6,6,32,4175,90,early,0.9411764705882353,30.89532999911171,0.06835699969087727,observability_fixed_R16_k16,good,22.89432599900465,1,pg19,4,21633,779,False,16,16,28,0.14155688622754492,42,[],210.63029099968844,163.7961569995241,591
0.03125,-1.0,1,,0.0,0,0,142.1016749991395,10461.287109375,2.231325626373291,32,0.3568265438079834,0.1077214777469635,6,6,32,4180,95,early,0.9411764705882353,32.798407000882435,0.06845700045232661,observability_fixed_R16_k16,good,23.43373500116286,1,pg19,1,21662,763,False,16,16,29,0.14258373205741626,44,[],214.81043600033445,165.53541000030236,596
0.09375,1.5,3,,0.0,0,0,144.407820998822,10459.83837890625,2.3106088638305664,32,0.45899373292922974,0.3804691657423973,6,6,32,4182,97,early,0.9411764705882353,33.191194001119584,0.0728150007489603,observability_fixed_R16_k16,good,24.802946001727832,1,pg19,3,21667,768,False,16,16,30,0.14299378287900527,48,[],214.26522100045986,169.21076700054982,598
0.09375,1.0,3,,0.0,0,0,147.99687800041283,10460.70751953125,2.2710583209991455,32,0.23891685903072357,0.017954885959625244,6,6,32,4186,101,early,0.9411764705882353,32.647477000864455,0.06900900007167365,observability_fixed_R16_k16,good,23.362257999906433,1,pg19,3,21679,775,False,16,16,31,0.14381270903010032,52,[],211.18146200024057,171.35913600031927,602
0.0625,-0.75,2,0.8700255155563354,138.91133700053615,16,993,280.4878129991266,10461.46240234375,1.9089369773864746,32,0.568155825138092,0.44138312339782715,6,6,32,4190,105,early,0.8333333333333334,33.05771600025764,0.07178700070653576,observability_fixed_R16_k16,good,22.745856000256026,1,pg19,2,21703,966,True,16,16,32,0.14463007159904534,55,"[0, 4191, 4192, 4190, 4189, 4013, 4187, 4185, 4186, 4184, 4188, 4179, 4183, 4180, 2750, 4182]",215.93808899888245,303.23366899938264,606
0.0625,-0.25,2,,0.0,0,0,76.85642300020845,10460.1279296875,1.0097211599349976,32,0.8110759258270264,0.729503870010376,6,6,32,4193,108,early,1.0,37.32988400042814,4.1755780002858955,observability_fixed_R16_k16,good,22.45075300015742,1,pg19,2,21704,767,False,16,16,33,0.12997853565466252,3,[],214.6142460005649,99.30717600036587,545
0.0625,-0.5,2,,0.0,0,0,152.34530299858307,10460.1279296875,0.24141819775104523,32,0.9592798948287964,0.934112286195159,6,6,32,4196,111,early,1.0,31.52412599956733,0.060287999076535925,observability_fixed_R16_k16,good,22.784360000514425,1,pg19,2,21725,770,False,16,16,34,0.1306005719733079,6,[],212.55189499970584,175.1296629990975,548
0.09375,0.75,3,,0.0,0,0,143.4214590008196,10460.1279296875,1.1796646118164062,32,0.6817059516906738,0.5272014141082764,6,6,32,4199,114,early,1.0,33.06852600144339,0.07061699943733402,observability_fixed_R16_k16,good,22.610632000578335,1,pg19,3,21740,767,False,16,16,35,0.13122171945701358,10,[],209.27283600030933,166.03209100139793,551
0.0625,-0.25,2,,0.0,0,0,144.49285699993197,10460.70751953125,1.4047311544418335,32,0.4391069710254669,0.11784946918487549,6,6,32,4203,118,early,1.0,32.984315999783576,0.06711599962727632,observability_fixed_R16_k16,good,22.691113999826484,1,pg19,2,21753,768,False,16,16,36,0.13204853675945752,13,[],209.5503609998559,167.18397099975846,555
0.125,1.75,4,,0.0,0,0,143.1180219988164,10460.1279296875,1.4826518297195435,32,0.5005059242248535,0.16184663772583008,5,6,32,4206,121,early,1.0,33.03340200000093,0.07178200030466542,observability_fixed_R16_k16,good,22.504552001919365,1,pg19,4,21764,777,False,16,16,37,0.1326676176890157,18,[],216.30413999992015,165.62257400073577,558
0.0625,-0.75,2,,0.0,0,0,140.3373070006637,10462.15625,3.0112314224243164,32,0.18922412395477295,0.041856229305267334,5,6,32,4211,126,early,1.0,32.96043699992879,0.06597400169994216,observability_fixed_R16_k16,good,22.67832399957115,1,pg19,2,21797,765,False,16,16,38,0.13369745903585847,21,[],209.4675090011151,163.01563100023486,563
0.15625,2.25,5,,0.0,0,0,145.45825000095647,10460.1279296875,0.003115314757451415,32,0.9997223019599915,0.9996388219005894,6,6,32,4214,129,early,1.0,32.661508999808575,0.06633999873884022,observability_fixed_R16_k16,good,22.88567499817873,1,pg19,5,21789,783,False,16,16,39,0.1343141907925961,27,[],219.00439099954383,168.3439249991352,566
0.15625,1.75,5,,0.0,0,0,142.17981499859889,10461.86669921875,0.34069254994392395,32,0.9456452131271362,0.9274939075112343,5,6,32,4220,135,early,1.0,34.36335200058238,0.07061699943733402,observability_fixed_R16_k16,good,22.902522001459147,1,pg19,5,21822,784,False,16,16,40,0.13554502369668248,33,[],210.2920389988867,165.08233700005803,572
0.0625,-2.0,2,,0.0,0,0,143.79461200041987,10461.86669921875,2.3172247409820557,32,0.3051696717739105,0.11119203269481659,5,6,32,4226,141,early,0.9411764705882353,38.070983999205055,4.2661340012273286,observability_fixed_R16_k16,good,22.80215899918403,1,pg19,2,21857,770,False,16,16,41,0.14434453383814483,36,[],209.70176800074114,166.5967709996039,610
0.09375,-0.5,3,,0.0,0,0,144.1617580003367,10460.1279296875,1.2235215902328491,32,0.6691106557846069,0.5051380395889282,6,6,32,4229,144,early,0.9411764705882353,33.36320099879231,0.06988399945839774,observability_fixed_R16_k16,good,23.018930000034743,1,pg19,3,21871,772,False,16,16,42,0.14495152518325846,40,[],216.49740999964706,167.18068800037145,613
0.125,0.25,4,,0.0,0,0,143.5129000001325,10460.70751953125,0.6068951487541199,32,0.7416207194328308,0.48929694294929504,6,6,32,4233,148,early,0.9411764705882353,33.31907200117712,0.07328999890887644,observability_fixed_R16_k16,good,23.118237000744557,1,pg19,4,21878,776,False,16,16,43,0.14575950862272619,45,[],220.44999299941992,166.63113700087706,617
0.0,-3.5,0,,0.0,0,0,145.0434739999764,10461.287109375,3.2030832767486572,32,0.2541709244251251,0.07673104107379913,5,6,32,4238,153,early,0.9411764705882353,33.47459299948241,0.07764799920551013,observability_fixed_R16_k16,good,22.93996300068102,1,pg19,0,21920,760,False,16,16,44,0.1467673430863615,46,[],211.98437500061118,167.98343700065743,622
0.0625,-0.25,2,,0.0,0,0,138.52592100010952,10458.96875,0.46905842423439026,32,0.8670911192893982,0.747895136475563,6,6,32,4239,154,early,0.9411764705882353,31.775646999449236,0.07359600022027735,observability_fixed_R16_k16,good,23.384307000014815,1,pg19,2,21907,767,False,16,16,45,0.14696862467563104,49,[],212.20457799972792,161.91022800012433,623
0.03125,-1.25,1,,0.0,0,0,146.5612060001149,10460.1279296875,3.5457890033721924,32,0.2780759334564209,0.1338120400905609,5,6,32,4242,157,early,0.9411764705882353,32.987540998874465,0.0707260005583521,observability_fixed_R16_k16,good,22.77483299985761,1,pg19,1,21923,759,False,16,16,46,0.14757190004714757,51,[],211.4705439998943,169.33603899997252,626
0.09375,1.25,3,,0.0,0,0,140.6417580001289,10459.54833984375,0.36399516463279724,32,0.9191855788230896,0.8585587181150913,6,6,32,4244,159,early,0.9411764705882353,33.17870200044126,0.07065699901431799,observability_fixed_R16_k16,good,23.070466000717715,1,pg19,3,21921,771,False,16,16,47,0.14797360980207352,55,[],220.23479599920393,163.71222400084662,628
0.09375,1.5,3,0.8411440849304199,130.8186249989376,16,988,274.84376200118277,10460.70751953125,2.8574554920196533,32,0.24586255848407745,0.04830645024776459,6,6,32,4248,163,early,0.7368421052631579,32.840036999914446,0.07215000005089678,observability_fixed_R16_k16,good,22.980813999311067,1,pg19,3,21943,974,True,16,16,48,0.1487758945386064,59,"[0, 4251, 4247, 4249, 4248, 4250, 4246, 4245, 2750, 4240, 4242, 4239, 4237, 4241, 4238, 4222]",206.85005799896317,297.82457600049383,632
0.0625,-0.25,2,,0.0,0,0,77.68307300102606,10461.287109375,2.527740716934204,32,0.280813604593277,0.06211574375629425,6,6,32,4252,167,early,1.0,33.47123800085683,4.292573999919114,observability_fixed_R16_k16,good,22.981647998676635,1,pg19,2,21967,766,False,16,16,49,0.12699905926622765,3,[],218.6971449991688,100.6647209997027,540
0.0625,-0.25,2,,0.0,0,0,150.6171410001116,10460.1279296875,1.7120236158370972,32,0.5388790369033813,0.4004834443330765,6,6,32,4255,170,early,1.0,32.44011899914767,0.06728399966959842,observability_fixed_R16_k16,good,23.147288999098237,1,pg19,2,21986,765,False,16,16,50,0.12761457109283197,6,[],214.2354619991238,173.76442999920982,543
0.03125,-1.5,1,,0.0,0,0,153.12099900074827,10460.1279296875,0.29760634899139404,32,0.9411665201187134,0.9136201683431864,6,6,32,4258,173,middle,1.0,43.692838999049854,4.848479000429506,observability_fixed_R16_k16,good,24.466717999530374,1,pg19,1,21986,762,False,16,16,51,0.12822921559417566,8,[],213.7022139995679,177.58771700027864,546
0.0625,0.0,2,,0.0,0,0,143.6489440002333,10459.54833984375,2.3271193504333496,32,0.378846138715744,0.18835033476352692,6,6,32,4260,175,middle,1.0,34.40046300056565,0.06858400047349278,observability_fixed_R16_k16,good,23.06256699921505,1,pg19,2,21997,766,False,16,16,52,0.12863849765258217,11,[],211.33193999958166,166.71151099944836,548
0.0,-1.75,0,,0.0,0,0,139.90026700048475,10460.1279296875,1.7728949785232544,32,0.6366882920265198,0.5435202121734619,6,6,32,4263,178,middle,1.0,32.86638200006564,0.07037700015644077,observability_fixed_R16_k16,good,22.256014999584295,1,pg19,0,22010,762,False,16,16,53,0.1292517006802721,12,[],213.94294099991384,162.15628200006904,551
