accept_ratio,acceptance_trend_slope,accepted_indices,accepted_len,attention_mass_covered,cloud_finish_ts_ms,cloud_guidance_generation_time_ms,cloud_receive_ts_ms,cloud_selected_count,cloud_selected_token_count,cloud_target_verify_time_ms,correction_token_id,cuda_memory_allocated_mb,draft_entropy,draft_tokens,draft_top1_confidence,draft_top1_top2_margin,draft_tree_actual_depth,draft_tree_max_depth,draft_tree_nodes,edge_finish_ts_ms,edge_start_ts_ms,full_kv_tokens,generated_token_offset,generation_phase,guidance_jaccard,kv_append_ms,kv_select_ms,method,network,network_time_ms,pipeline_built,pipeline_hit,pipeline_reuse,pipeline_wait_ms,previous_selected_chunk_ids,prompt_id,prompt_type,rejected_position,request_id,request_payload_bytes,response_payload_bytes,retrieval,retrieve_every_n_steps,retrieve_top_k,round,selected_chunk_ids,selected_full_ratio,tokens_since_guidance_update,top_attention_token_indices,tree_construct_ms,verify_elapsed_ms,working_kv_tokens
0.03125,0.0,[1],1,0.8711445331573486,1781073565700.0571,237.43087599905266,1781073565334.2769,16,984,365.7800250002765,332,12770.95263671875,3.787804126739502,32,0.2045602798461914,0.03230324387550354,6,6,32,1781073565710.0068,1781073565313.4553,3990,0,early,0.6842105263157895,354.67774700009613,6.910060999871348,observability_fixed_R16_k16,good,30.76743499877921,0,False,False,0.0,"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,1,2e881eb3-2ab2-4511-95ad-281d06446d4c,21353,958,True,16,16,0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.12832080200501253,2,"[0, 3991, 3988, 3990, 3987, 3989, 3986, 3966, 3977, 3976, 3970, 3973, 3949, 3967, 3979, 3968]",291.0887019988877,396.5474599990557,512
0.0,-1.0,[],0,,1781073566173.8457,0.0,1781073566071.7454,0,0,102.10012099923915,1119,10459.82568359375,0.5615354776382446,32,0.8707907795906067,0.8067175447940826,6,6,32,1781073566182.7634,1781073566055.8916,3992,2,early,1.0,51.854469000318204,7.295425000847899,observability_fixed_R16_k16,good,24.768807999862474,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,0,2e881eb3-2ab2-4511-95ad-281d06446d4c,21356,764,False,16,16,1,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.1342685370741483,1,[],285.3320009999152,126.86892899910163,536
0.03125,0.5,[0],1,,1781073566762.8235,0.0,1781073566559.01,0,0,203.81184999860125,11794,10458.96875,1.2450599670410156,32,0.8561057448387146,0.8281529024243355,5,6,32,1781073566772.8423,1781073566543.0435,3993,3,early,1.0,67.09507000050507,0.08795100075076334,observability_fixed_R16_k16,good,25.984286001403234,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,1,2e881eb3-2ab2-4511-95ad-281d06446d4c,21347,766,False,16,16,2,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.13448534936138243,3,[],291.6758009996556,229.79613600000448,537
0.0625,1.3333333333333335,"[0, 7]",2,,1781073567332.6506,0.0,1781073567129.1165,0,0,203.53179500125407,1803,10459.54833984375,1.9164032936096191,32,0.5711461305618286,0.4354870319366455,6,6,32,1781073567342.3613,1781073567114.2214,3995,5,early,1.0,46.023922999665956,0.104228000054718,observability_fixed_R16_k16,good,24.606035998658626,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21363,770,False,16,16,3,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.134918648310388,6,[],293.9652439999918,228.1378309999127,539
0.0625,1.0,"[3, 15]",2,,1781073567895.8618,0.0,1781073567692.8325,0,0,203.02757899844437,10497,10460.1279296875,2.5643417835235596,32,0.3865717947483063,0.12500420212745667,5,6,32,1781073567905.9768,1781073567677.9688,3998,8,early,1.0,44.16236600081902,0.09622399920772295,observability_fixed_R16_k16,good,24.97756900083914,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21376,774,False,16,16,4,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.135567783891946,9,[],290.07410899976094,228.0051479992835,542
0.0625,0.75,"[0, 7]",2,,1781073568463.8337,0.0,1781073568267.152,0,0,196.67581599969708,4916,10460.1279296875,2.2292914390563965,32,0.3767346739768982,0.17820943892002106,5,6,32,1781073568474.855,1781073568252.1648,4001,11,early,1.0,49.34105800020916,5.52767000044696,observability_fixed_R16_k16,good,26.01202400001057,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21385,769,False,16,16,5,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.13621594601349662,12,[],289.93910499957565,222.68783999970765,545
0.0625,0.25,"[1, 14]",2,,1781073569019.9404,0.0,1781073568822.1353,0,0,197.8019239995774,8872,10460.1279296875,2.1721060276031494,32,0.46106868982315063,0.3289702981710434,5,6,32,1781073569029.316,1781073568806.1575,4004,14,early,1.0,43.542643999899155,0.0913479998416733,observability_fixed_R16_k16,good,25.3543870003341,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21407,768,False,16,16,6,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.13686313686313686,15,[],286.5067159982573,223.1563109999115,548
0.0625,0.0,"[0, 14]",2,,1781073569534.4534,0.0,1781073569351.35,0,0,183.1028039996454,13,10460.1279296875,1.7170323133468628,32,0.5311353802680969,0.3357415646314621,6,6,32,1781073569543.2207,1781073569337.4177,4007,17,early,1.0,43.63831700175069,0.09086200043384451,observability_fixed_R16_k16,good,22.6986890011176,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21425,763,False,16,16,7,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.1375093586224108,18,[],263.4306740001193,205.801493000763,551
0.0625,0.0,"[0, 16]",2,,1781073570002.5483,0.0,1781073569812.4216,0,0,190.12590700003784,1983,10460.1279296875,2.1738500595092773,32,0.6390275359153748,0.57575523853302,4,6,32,1781073570011.8213,1781073569797.784,4010,20,early,1.0,33.83076099999016,0.06628099981753621,observability_fixed_R16_k16,good,23.90720999937912,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,2,2e881eb3-2ab2-4511-95ad-281d06446d4c,21437,772,False,16,16,8,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.13815461346633418,21,[],219.69695500047237,214.03311699941696,554
0.15625,3.0,"[0, 2, 8, 17, 25]",5,,1781073570458.559,0.0,1781073570277.2627,0,0,181.2954280012491,11794,10460.1279296875,0.5125075578689575,32,0.8439463973045349,0.7061759233474731,6,6,32,1781073570467.531,1781073570263.274,4013,23,early,1.0,33.0792240001756,0.06665900036750827,observability_fixed_R16_k16,good,22.958892999668024,0,False,False,0.0,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",1,pg19,5,2e881eb3-2ab2-4511-95ad-281d06446d4c,21439,784,False,16,16,9,"[0, 4, 9, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",0.1387989035634189,27,[],217.14078199875075,204.25432100091712,557
