method,prompt_type,accepted,rounds,share_within_middle
sync_k8,gsm8k,3,16,0.21621621621621623
sync_k8,gsm8k,4,28,0.3783783783783784
sync_k8,gsm8k,5,10,0.13513513513513514
sync_k8,gsm8k,6,8,0.10810810810810811
sync_k8,gsm8k,7,12,0.16216216216216217
sync_k8,humaneval,3,24,0.3076923076923077
sync_k8,humaneval,4,10,0.1282051282051282
sync_k8,humaneval,5,10,0.1282051282051282
sync_k8,humaneval,6,20,0.2564102564102564
sync_k8,humaneval,7,14,0.1794871794871795
tree_k8_b3,gsm8k,3,14,0.19444444444444445
tree_k8_b3,gsm8k,4,28,0.3888888888888889
tree_k8_b3,gsm8k,5,10,0.1388888888888889
tree_k8_b3,gsm8k,6,8,0.1111111111111111
tree_k8_b3,gsm8k,7,12,0.16666666666666666
tree_k8_b3,humaneval,3,22,0.28205128205128205
tree_k8_b3,humaneval,4,8,0.10256410256410256
tree_k8_b3,humaneval,5,12,0.15384615384615385
tree_k8_b3,humaneval,6,22,0.28205128205128205
tree_k8_b3,humaneval,7,14,0.1794871794871795
