method,prompt_type,prev_state,state,rounds,probability
sync_k8,gsm8k,dead,dead,18,0.2647058823529412
sync_k8,gsm8k,dead,full,28,0.4117647058823529
sync_k8,gsm8k,dead,middle,22,0.3235294117647059
sync_k8,gsm8k,full,dead,26,0.125
sync_k8,gsm8k,full,full,152,0.7307692307692307
sync_k8,gsm8k,full,middle,30,0.14423076923076922
sync_k8,gsm8k,middle,dead,22,0.2972972972972973
sync_k8,gsm8k,middle,full,38,0.5135135135135135
sync_k8,gsm8k,middle,middle,14,0.1891891891891892
sync_k8,humaneval,dead,dead,80,0.5194805194805194
sync_k8,humaneval,dead,full,42,0.2727272727272727
sync_k8,humaneval,dead,middle,32,0.2077922077922078
sync_k8,humaneval,full,dead,32,0.16494845360824742
sync_k8,humaneval,full,full,126,0.6494845360824743
sync_k8,humaneval,full,middle,36,0.18556701030927836
sync_k8,humaneval,middle,dead,26,0.34210526315789475
sync_k8,humaneval,middle,full,40,0.5263157894736842
sync_k8,humaneval,middle,middle,10,0.13157894736842105
tree_k8_b3,gsm8k,dead,dead,18,0.2647058823529412
tree_k8_b3,gsm8k,dead,full,28,0.4117647058823529
tree_k8_b3,gsm8k,dead,middle,22,0.3235294117647059
tree_k8_b3,gsm8k,full,dead,26,0.12380952380952381
tree_k8_b3,gsm8k,full,full,156,0.7428571428571429
tree_k8_b3,gsm8k,full,middle,28,0.13333333333333333
tree_k8_b3,gsm8k,middle,dead,22,0.3055555555555556
tree_k8_b3,gsm8k,middle,full,36,0.5
tree_k8_b3,gsm8k,middle,middle,14,0.19444444444444445
tree_k8_b3,humaneval,dead,dead,80,0.5263157894736842
tree_k8_b3,humaneval,dead,full,40,0.2631578947368421
tree_k8_b3,humaneval,dead,middle,32,0.21052631578947367
tree_k8_b3,humaneval,full,dead,32,0.16494845360824742
tree_k8_b3,humaneval,full,full,126,0.6494845360824743
tree_k8_b3,humaneval,full,middle,36,0.18556701030927836
tree_k8_b3,humaneval,middle,dead,24,0.3157894736842105
tree_k8_b3,humaneval,middle,full,42,0.5526315789473685
tree_k8_b3,humaneval,middle,middle,10,0.13157894736842105
