method,prompt_type,round_index,rounds,avg_accept,dead_share,middle_share,full_share,avg_prefix_len
sync_k8,gsm8k,0,20,6.4,0.1,0.4,0.5,66.0
sync_k8,gsm8k,1,20,6.4,0.1,0.3,0.6,73.4
sync_k8,gsm8k,2,20,7.1,0.0,0.3,0.7,80.8
sync_k8,gsm8k,3,20,5.3,0.3,0.3,0.4,88.9
sync_k8,gsm8k,4,20,5.1,0.3,0.3,0.4,95.2
sync_k8,gsm8k,5,20,5.5,0.3,0.1,0.6,101.3
sync_k8,gsm8k,6,20,5.5,0.3,0.1,0.6,107.8
sync_k8,gsm8k,7,20,6.3,0.1,0.2,0.7,114.3
sync_k8,gsm8k,8,20,5.8,0.2,0.2,0.6,121.6
sync_k8,gsm8k,9,20,5.3,0.2,0.3,0.5,128.4
sync_k8,gsm8k,10,20,5.2,0.3,0.3,0.4,134.7
sync_k8,gsm8k,11,20,5.8,0.2,0.3,0.5,140.9
sync_k8,gsm8k,12,20,5.4,0.4,0.0,0.6,147.7
sync_k8,gsm8k,13,20,7.4,0.1,0.0,0.9,154.1
sync_k8,gsm8k,14,20,4.6,0.3,0.3,0.4,162.5
sync_k8,gsm8k,15,20,7.0,0.1,0.1,0.8,168.1
sync_k8,gsm8k,16,16,8.0,0.0,0.0,1.0,172.625
sync_k8,gsm8k,17,8,7.0,0.0,0.25,0.75,167.5
sync_k8,gsm8k,18,8,5.0,0.25,0.25,0.5,175.5
sync_k8,gsm8k,19,8,8.0,0.0,0.0,1.0,181.5
sync_k8,gsm8k,20,2,8.0,0.0,0.0,1.0,150.0
sync_k8,gsm8k,21,2,8.0,0.0,0.0,1.0,159.0
sync_k8,gsm8k,22,2,8.0,0.0,0.0,1.0,168.0
sync_k8,gsm8k,23,2,8.0,0.0,0.0,1.0,177.0
sync_k8,gsm8k,24,2,8.0,0.0,0.0,1.0,186.0
sync_k8,humaneval,0,20,2.4,0.8,0.0,0.2,112.9
sync_k8,humaneval,1,20,2.4,0.7,0.1,0.2,116.3
sync_k8,humaneval,2,20,3.9,0.4,0.3,0.3,119.7
sync_k8,humaneval,3,20,5.2,0.3,0.2,0.5,124.6
sync_k8,humaneval,4,20,6.4,0.2,0.0,0.8,130.8
sync_k8,humaneval,5,20,5.5,0.3,0.2,0.5,138.2
sync_k8,humaneval,6,20,5.1,0.3,0.4,0.3,144.7
sync_k8,humaneval,7,20,4.5,0.5,0.0,0.5,150.8
