method,prompt_type,state,rounds,share
sync_k8,gsm8k,dead,68,0.1837837837837838
sync_k8,gsm8k,full,228,0.6162162162162163
sync_k8,gsm8k,middle,74,0.2
sync_k8,humaneval,dead,154,0.34684684684684686
sync_k8,humaneval,full,212,0.4774774774774775
sync_k8,humaneval,middle,78,0.17567567567567569
tree_k8_b3,gsm8k,dead,68,0.1837837837837838
tree_k8_b3,gsm8k,full,230,0.6216216216216216
tree_k8_b3,gsm8k,middle,72,0.1945945945945946
tree_k8_b3,humaneval,dead,152,0.3438914027149321
tree_k8_b3,humaneval,full,212,0.4796380090497738
tree_k8_b3,humaneval,middle,78,0.17647058823529413
