network,method,accepted,rounds,share
good,sync_k8,0.0,42,0.10319410319410319
good,sync_k8,1.0,36,0.08845208845208845
good,sync_k8,2.0,33,0.08108108108108109
good,sync_k8,3.0,20,0.04914004914004914
good,sync_k8,4.0,19,0.04668304668304668
good,sync_k8,5.0,10,0.02457002457002457
good,sync_k8,6.0,14,0.0343980343980344
good,sync_k8,7.0,13,0.03194103194103194
good,sync_k8,8.0,220,0.5405405405405406
good,tree_k8_b3,0.0,42,0.10344827586206896
good,tree_k8_b3,1.0,36,0.08866995073891626
good,tree_k8_b3,2.0,32,0.07881773399014778
good,tree_k8_b3,3.0,18,0.04433497536945813
good,tree_k8_b3,4.0,18,0.04433497536945813
good,tree_k8_b3,5.0,11,0.027093596059113302
good,tree_k8_b3,6.0,15,0.03694581280788178
good,tree_k8_b3,7.0,13,0.03201970443349754
good,tree_k8_b3,8.0,221,0.5443349753694581
medium,sync_k8,0.0,42,0.10319410319410319
medium,sync_k8,1.0,36,0.08845208845208845
medium,sync_k8,2.0,33,0.08108108108108109
medium,sync_k8,3.0,20,0.04914004914004914
medium,sync_k8,4.0,19,0.04668304668304668
medium,sync_k8,5.0,10,0.02457002457002457
medium,sync_k8,6.0,14,0.0343980343980344
medium,sync_k8,7.0,13,0.03194103194103194
medium,sync_k8,8.0,220,0.5405405405405406
medium,tree_k8_b3,0.0,42,0.10344827586206896
medium,tree_k8_b3,1.0,36,0.08866995073891626
medium,tree_k8_b3,2.0,32,0.07881773399014778
medium,tree_k8_b3,3.0,18,0.04433497536945813
medium,tree_k8_b3,4.0,18,0.04433497536945813
medium,tree_k8_b3,5.0,11,0.027093596059113302
medium,tree_k8_b3,6.0,15,0.03694581280788178
medium,tree_k8_b3,7.0,13,0.03201970443349754
medium,tree_k8_b3,8.0,221,0.5443349753694581
