network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,sync_k8,gsm8k,1,75.0,38.37132453918457,67.08933066664834
good,sync_k8,gsm8k,1,84.0,40.662527084350586,68.49919833339158
good,sync_k8,gsm8k,1,93.0,41.6257381439209,68.4607906666395
good,sync_k8,gsm8k,1,102.0,45.08686065673828,71.5684859999977
good,sync_k8,gsm8k,1,105.0,45.2880859375,71.81338866660843
good,sync_k8,gsm8k,1,114.0,49.79991912841797,76.88812333330439
good,sync_k8,gsm8k,1,123.0,51.427364349365234,78.3382433332958
good,sync_k8,gsm8k,1,132.0,56.52809143066406,83.18424399998815
good,sync_k8,gsm8k,1,136.0,55.74631690979004,82.32449133336657
good,sync_k8,gsm8k,1,140.0,55.68504333496094,81.92967033341671
good,sync_k8,gsm8k,1,141.0,55.99403381347656,82.20375166658948
good,sync_k8,gsm8k,1,146.0,60.340166091918945,86.6660143333294
good,sync_k8,gsm8k,1,149.0,64.20421600341797,91.91437266661855
good,sync_k8,gsm8k,1,152.0,63.5831356048584,90.78833366669821
good,sync_k8,gsm8k,1,155.0,64.22114372253418,91.56105533336907
good,sync_k8,gsm8k,1,160.0,64.92972373962402,91.48484799998346
good,sync_k8,gsm8k,1,169.0,67.87705421447754,94.81564133326516
good,sync_k8,gsm8k,1,178.0,71.58493995666504,98.05831233333808
good,sync_k8,gsm8k,1,187.0,72.62182235717773,99.62429766667678
good,sync_k8,gsm8k,1,196.0,77.79884338378906,105.5743356666756
good,tree_k8_b3,gsm8k,1,75.0,,66.90443866676908
good,tree_k8_b3,gsm8k,1,84.0,,69.26511599997235
good,tree_k8_b3,gsm8k,1,93.0,,69.39240199995689
good,tree_k8_b3,gsm8k,1,102.0,,72.5313673332686
good,tree_k8_b3,gsm8k,1,105.0,,73.43294966666122
good,tree_k8_b3,gsm8k,1,114.0,,78.01238533326647
good,tree_k8_b3,gsm8k,1,123.0,,79.88677066667083
good,tree_k8_b3,gsm8k,1,132.0,,82.83655900003663
good,tree_k8_b3,gsm8k,1,136.0,,84.25995566665814
good,tree_k8_b3,gsm8k,1,140.0,,84.59130099990603
good,tree_k8_b3,gsm8k,1,141.0,,85.31588133337306
good,tree_k8_b3,gsm8k,1,146.0,,88.1989376666497
good,tree_k8_b3,gsm8k,1,149.0,,87.85455733330656
good,tree_k8_b3,gsm8k,1,152.0,,89.1959136665878
good,tree_k8_b3,gsm8k,1,155.0,,88.3361683333815
good,tree_k8_b3,gsm8k,1,160.0,,89.12579133332395
good,tree_k8_b3,gsm8k,1,169.0,,94.64788833335093
good,tree_k8_b3,gsm8k,1,178.0,,99.15988633335562
good,tree_k8_b3,gsm8k,1,187.0,,100.25972566668638
good,tree_k8_b3,gsm8k,1,196.0,,104.70746666656969
good,sync_k8,gsm8k,2,101.0,47.56331443786621,75.2475713332317
good,sync_k8,gsm8k,2,104.0,47.63078689575195,75.67068400003558
good,sync_k8,gsm8k,2,109.0,46.87786102294922,74.55842466665607
good,sync_k8,gsm8k,2,118.0,52.52242088317871,80.18089033340402
good,sync_k8,gsm8k,2,127.0,53.337812423706055,80.79654499997321
good,sync_k8,gsm8k,2,134.0,57.25455284118652,84.43480166674442
good,sync_k8,gsm8k,2,135.0,57.67178535461426,85.32843100006491
good,sync_k8,gsm8k,2,138.0,57.67464637756348,85.48462766676826
good,sync_k8,gsm8k,2,139.0,56.34164810180664,83.84283166669147
good,sync_k8,gsm8k,2,148.0,61.12337112426758,88.64356733329656
good,sync_k8,gsm8k,2,157.0,62.88933753967285,89.7210990000001
good,sync_k8,gsm8k,2,166.0,69.85926628112793,97.30329933336269
good,sync_k8,gsm8k,2,175.0,70.2369213104248,97.9672336666572
good,sync_k8,gsm8k,2,176.0,69.80299949645996,97.01210200000082
good,sync_k8,gsm8k,2,185.0,74.23996925354004,101.39930799994293
good,sync_k8,gsm8k,2,188.0,73.6699104309082,101.04263566660107
